Generación,Mejor Fitness
1,0.0046
2,0.0047
3,0.0049
4,0.0053
5,0.0053
6,0.0053
7,0.0056
8,0.0056
9,0.0056
10,0.0056
11,0.0060
12,0.0060
13,0.0062
14,0.0062
15,0.0062
16,0.0063
17,0.0063
18,0.0064
19,0.0064
20,0.0064
21,0.0064
22,0.0064
23,0.0067
24,0.0067
25,0.0067
26,0.0067
27,0.0067
28,0.0068
29,0.0068
30,0.0068
31,0.0068
32,0.0070
33,0.0070
34,0.0071
35,0.0071
36,0.0071
37,0.0071
38,0.0072
39,0.0072
40,0.0073
41,0.0073
42,0.0074
43,0.0074
44,0.0074
45,0.0074
46,0.0074
47,0.0074
48,0.0074
49,0.0074
50,0.0074
51,0.0074
52,0.0075
53,0.0075
54,0.0075
55,0.0075
56,0.0076
57,0.0076
58,0.0076
59,0.0076
60,0.0076
61,0.0076
62,0.0077
63,0.0077
64,0.0077
65,0.0077
66,0.0077
67,0.0077
68,0.0077
69,0.0077
70,0.0077
71,0.0077
72,0.0077
73,0.0077
74,0.0077
75,0.0077
76,0.0077
77,0.0077
78,0.0077
79,0.0077
80,0.0077
81,0.0077
82,0.0077
83,0.0077
84,0.0077
85,0.0077
86,0.0077
87,0.0077
88,0.0077
89,0.0077
90,0.0077
91,0.0077
92,0.0077
93,0.0077
94,0.0077
95,0.0077
96,0.0077
97,0.0077
98,0.0077
99,0.0077
100,0.0077
101,0.0077
102,0.0077
103,0.0077
104,0.0077
105,0.0077
106,0.0077
107,0.0077
108,0.0077
109,0.0077
110,0.0077
111,0.0077
112,0.0077
113,0.0077
114,0.0077
115,0.0077
116,0.0077
117,0.0077
118,0.0077
119,0.0077
120,0.0077
121,0.0078
122,0.0078
123,0.0078
124,0.0078
125,0.0078
126,0.0078
127,0.0078
128,0.0078
129,0.0078
130,0.0078
131,0.0078
132,0.0078
133,0.0078
134,0.0078
135,0.0078
136,0.0078
137,0.0078
138,0.0078
139,0.0078
140,0.0079
141,0.0079
142,0.0079
143,0.0079
144,0.0079
145,0.0079
146,0.0079
147,0.0079
148,0.0079
149,0.0079
150,0.0079
151,0.0079
152,0.0080
153,0.0080
154,0.0080
155,0.0080
156,0.0080
157,0.0080
158,0.0080
159,0.0080
160,0.0080
161,0.0080
162,0.0080
163,0.0080
164,0.0080
165,0.0080
166,0.0080
167,0.0080
168,0.0080
169,0.0080
170,0.0080
171,0.0080
172,0.0080
173,0.0080
174,0.0080
175,0.0080
176,0.0080
177,0.0080
178,0.0080
179,0.0080
180,0.0080
181,0.0080
182,0.0080
183,0.0080
184,0.0080
185,0.0080
186,0.0080
187,0.0080
188,0.0080
189,0.0080
190,0.0080
191,0.0080
192,0.0080
193,0.0080
194,0.0080
195,0.0081
196,0.0081
197,0.0081
198,0.0081
199,0.0081
200,0.0081
201,0.0081
202,0.0081
203,0.0081
204,0.0081
205,0.0081
206,0.0081
207,0.0081
208,0.0081
209,0.0081
210,0.0081
211,0.0081
212,0.0081
213,0.0081
214,0.0081
215,0.0081
216,0.0081
217,0.0081
218,0.0081
219,0.0081
220,0.0081
221,0.0081
222,0.0081
223,0.0081
224,0.0082
225,0.0082
226,0.0082
227,0.0082
228,0.0082
229,0.0082
230,0.0082
231,0.0082
232,0.0082
233,0.0082
234,0.0082
235,0.0082
236,0.0082
237,0.0082
238,0.0083
239,0.0083
240,0.0083
241,0.0083
242,0.0083
243,0.0083
244,0.0083
245,0.0083
246,0.0083
247,0.0083
248,0.0083
249,0.0083
250,0.0083
251,0.0083
252,0.0083
253,0.0083
254,0.0083
255,0.0083
256,0.0083
257,0.0083
258,0.0083
259,0.0083
260,0.0083
261,0.0083
262,0.0083
263,0.0083
264,0.0083
265,0.0083
266,0.0083
267,0.0083
268,0.0083
269,0.0083
270,0.0083
271,0.0083
272,0.0083
273,0.0083
274,0.0083
275,0.0083
276,0.0083
277,0.0083
278,0.0083
279,0.0084
280,0.0084
281,0.0084
282,0.0084
283,0.0084
284,0.0084
285,0.0084
286,0.0084
287,0.0084
288,0.0084
289,0.0084
290,0.0084
291,0.0084
292,0.0084
293,0.0084
294,0.0084
295,0.0084
296,0.0084
297,0.0084
298,0.0084
299,0.0084
300,0.0084
301,0.0084
302,0.0084
303,0.0084
304,0.0084
305,0.0084
306,0.0084
307,0.0085
308,0.0085
309,0.0085
310,0.0085
311,0.0085
312,0.0085
313,0.0085
314,0.0085
315,0.0085
316,0.0085
317,0.0085
318,0.0085
319,0.0085
320,0.0085
321,0.0085
