Generación,Mejor Fitness
1,0.0049
101,0.0094
201,0.0102
301,0.0109
401,0.0117
501,0.0126
601,0.0135
701,0.0141
801,0.0149
901,0.0160
1001,0.0168
1101,0.0179
1201,0.0190
1301,0.0195
1401,0.0204
1501,0.0212
1601,0.0225
1701,0.0239
1801,0.0251
1901,0.0266
2001,0.0277
2101,0.0289
2201,0.0304
2301,0.0322
2401,0.0332
2501,0.0344
2601,0.0357
2701,0.0370
2801,0.0387
2901,0.0400
3001,0.0418
3101,0.0435
3201,0.0447
3301,0.0464
3401,0.0487
3501,0.0505
3601,0.0523
3701,0.0545
3801,0.0564
3901,0.0578
4001,0.0600
4101,0.0614
4201,0.0632
4301,0.0654
4401,0.0678
4501,0.0700
4601,0.0721
4701,0.0740
4801,0.0766
4901,0.0791
5001,0.0812
5101,0.0838
5201,0.0863
5301,0.0886
5401,0.0913
5501,0.0939
5601,0.0969
5701,0.0994
5801,0.1024
5901,0.1056
6001,0.1089
6101,0.1123
6201,0.1146
6301,0.1172
6401,0.1194
6501,0.1216
6601,0.1245
6701,0.1271
6801,0.1301
6901,0.1338
7001,0.1370
7101,0.1402
7201,0.1429
7301,0.1462
7401,0.1490
7501,0.1522
7601,0.1549
7701,0.1579
7801,0.1613
7901,0.1647
8001,0.1678
8101,0.1712
8201,0.1745
8301,0.1775
8401,0.1815
8501,0.1851
8601,0.1886
8701,0.1920
8801,0.1949
8901,0.1986
9001,0.2022
9101,0.2055
9201,0.2086
9301,0.2126
9401,0.2155
9501,0.2197
9601,0.2230
9701,0.2270
9801,0.2305
9901,0.2345
10001,0.2376
10101,0.2415
10201,0.2450
10301,0.2481
10401,0.2516
10501,0.2555
10601,0.2595
10701,0.2625
10801,0.2654
10901,0.2687
11001,0.2728
11101,0.2756
11201,0.2805
11301,0.2845
11401,0.2880
11501,0.2920
11601,0.2954
11701,0.2996
11801,0.3028
11901,0.3061
12001,0.3100
12101,0.3131
12201,0.3164
12301,0.3203
12401,0.3240
12501,0.3286
12601,0.3332
12701,0.3365
12801,0.3400
12901,0.3432
13001,0.3466
13101,0.3500
13201,0.3529
13301,0.3572
13401,0.3610
13501,0.3645
13601,0.3683
13701,0.3718
13801,0.3756
13901,0.3791
14001,0.3827
14101,0.3864
14201,0.3902
14301,0.3940
14401,0.3975
14501,0.4003
14601,0.4039
14701,0.4065
14801,0.4103
14901,0.4134
15001,0.4169
15101,0.4194
15201,0.4229
15301,0.4258
15401,0.4293
15501,0.4330
15601,0.4360
15701,0.4397
15801,0.4432
15901,0.4468
16001,0.4493
16101,0.4525
16201,0.4556
16301,0.4586
16401,0.4620
16501,0.4648
16601,0.4681
16701,0.4706
16801,0.4732
16901,0.4765
17001,0.4794
17101,0.4825
17201,0.4854
17301,0.4878
17401,0.4901
17501,0.4934
17601,0.4962
17701,0.4991
17801,0.5017
17901,0.5047
18001,0.5073
18101,0.5094
18201,0.5120
18301,0.5138
18401,0.5166
18501,0.5196
18601,0.5220
18701,0.5240
18801,0.5258
18901,0.5279
19001,0.5309
19101,0.5327
19201,0.5350
19301,0.5371
19401,0.5395
19501,0.5413
19601,0.5432
19701,0.5450
19801,0.5467
19901,0.5488
20001,0.5506
20101,0.5522
20201,0.5538
20301,0.5559
20401,0.5578
20501,0.5594
20601,0.5618
20701,0.5637
20801,0.5649
20901,0.5667
21001,0.5685
21101,0.5701
