Generación,Mejor Fitness
1,0.0053
101,0.0096
201,0.0102
301,0.0106
401,0.0114
501,0.0120
601,0.0130
701,0.0138
801,0.0147
901,0.0153
1001,0.0159
1101,0.0165
1201,0.0174
1301,0.0184
1401,0.0197
1501,0.0205
1601,0.0216
1701,0.0226
1801,0.0238
1901,0.0248
2001,0.0256
2101,0.0265
2201,0.0279
2301,0.0295
2401,0.0307
2501,0.0319
2601,0.0327
2701,0.0337
2801,0.0347
2901,0.0359
3001,0.0372
3101,0.0387
3201,0.0401
3301,0.0414
3401,0.0431
3501,0.0449
3601,0.0462
3701,0.0478
3801,0.0497
3901,0.0518
4001,0.0537
4101,0.0557
4201,0.0582
4301,0.0603
4401,0.0620
4501,0.0639
4601,0.0659
4701,0.0681
4801,0.0705
4901,0.0732
5001,0.0750
5101,0.0773
5201,0.0794
5301,0.0819
5401,0.0846
5501,0.0865
5601,0.0891
5701,0.0914
5801,0.0942
5901,0.0968
6001,0.0998
6101,0.1022
6201,0.1046
6301,0.1073
6401,0.1106
6501,0.1131
6601,0.1159
6701,0.1193
6801,0.1219
6901,0.1251
7001,0.1279
7101,0.1315
7201,0.1346
7301,0.1373
7401,0.1401
7501,0.1432
7601,0.1466
7701,0.1498
7801,0.1533
7901,0.1565
8001,0.1594
8101,0.1626
8201,0.1656
8301,0.1684
8401,0.1711
8501,0.1742
8601,0.1774
8701,0.1807
8801,0.1841
8901,0.1871
9001,0.1907
9101,0.1943
9201,0.1978
9301,0.2008
9401,0.2037
9501,0.2068
9601,0.2110
9701,0.2144
9801,0.2177
9901,0.2206
10001,0.2242
10101,0.2279
10201,0.2311
10301,0.2341
10401,0.2369
10501,0.2402
10601,0.2443
10701,0.2479
10801,0.2510
10901,0.2543
11001,0.2579
11101,0.2615
11201,0.2647
11301,0.2683
11401,0.2717
11501,0.2752
11601,0.2793
11701,0.2834
11801,0.2877
11901,0.2918
12001,0.2959
12101,0.3000
12201,0.3038
12301,0.3076
12401,0.3116
12501,0.3143
12601,0.3181
12701,0.3222
12801,0.3255
12901,0.3296
13001,0.3331
13101,0.3366
13201,0.3400
13301,0.3436
13401,0.3481
13501,0.3516
13601,0.3548
13701,0.3577
13801,0.3620
13901,0.3655
14001,0.3682
14101,0.3721
14201,0.3761
14301,0.3794
14401,0.3831
14501,0.3866
14601,0.3908
14701,0.3941
14801,0.3983
14901,0.4023
15001,0.4060
15101,0.4103
15201,0.4143
15301,0.4181
15401,0.4219
15501,0.4255
15601,0.4289
15701,0.4326
15801,0.4357
15901,0.4389
16001,0.4424
16101,0.4456
16201,0.4492
16301,0.4520
16401,0.4548
16501,0.4583
16601,0.4613
16701,0.4646
16801,0.4682
16901,0.4712
17001,0.4744
17101,0.4778
17201,0.4806
17301,0.4835
17401,0.4867
17501,0.4893
17601,0.4925
17701,0.4951
17801,0.4982
17901,0.5010
18001,0.5038
18101,0.5061
18201,0.5091
18301,0.5112
18401,0.5146
18501,0.5164
18601,0.5192
18701,0.5219
18801,0.5247
18901,0.5267
19001,0.5287
19101,0.5311
19201,0.5330
19301,0.5356
19401,0.5374
19501,0.5394
19601,0.5415
19701,0.5430
19801,0.5455
19901,0.5479
20001,0.5497
20101,0.5520
20201,0.5541
20301,0.5569
20401,0.5592
20501,0.5606
20601,0.5622
20701,0.5645
20801,0.5670
20901,0.5685
21001,0.5702
21101,0.5720
21201,0.5743
21301,0.5755
21401,0.5774
21501,0.5794
21601,0.5817
21701,0.5836
21801,0.5853
21901,0.5868
22001,0.5881
22101,0.5895
22201,0.5911
22301,0.5923
22401,0.5935
22501,0.5943
22601,0.5957
22701,0.5970
22801,0.5983
22901,0.5990
23001,0.6002
23101,0.6013
23201,0.6026
23301,0.6037
23401,0.6045
23501,0.6055
23601,0.6067
23701,0.6075
23801,0.6083
23901,0.6098
24001,0.6107
24101,0.6115
24201,0.6122
24301,0.6129
24401,0.6138
24501,0.6143
24601,0.6150
24701,0.6156
24801,0.6161
24901,0.6173
25001,0.6179
25101,0.6186
25201,0.6195
25301,0.6197
25401,0.6206
25501,0.6213
25601,0.6218
25701,0.6222
25801,0.6226
25901,0.6233
26001,0.6239
26101,0.6243
26201,0.6247
26301,0.6251
26401,0.6255
26501,0.6261
26601,0.6266
26701,0.6274
26801,0.6275
26901,0.6279
27001,0.6287
27101,0.6289
27201,0.6292
27301,0.6298
27401,0.6301
27501,0.6303
27601,0.6308
27701,0.6315
27801,0.6317
27901,0.6322
28001,0.6324
28101,0.6331
28201,0.6335
28301,0.6339
28401,0.6344
28501,0.6349
28601,0.6351
28701,0.6352
28801,0.6356
28901,0.6360
29001,0.6363
29101,0.6367
29201,0.6369
29301,0.6370
29401,0.6372
29501,0.6375
29601,0.6378
29701,0.6379
29801,0.6383
29901,0.6384
30001,0.6385
30101,0.6391
30201,0.6394
30301,0.6397
30401,0.6398
30501,0.6403
30601,0.6405
30701,0.6406
30801,0.6410
30901,0.6411
31001,0.6415
31101,0.6418
31201,0.6420
31301,0.6423
31401,0.6427
31501,0.6432
31601,0.6435
31701,0.6438
31801,0.6439
31901,0.6440
32001,0.6447
32101,0.6449
32201,0.6451
32301,0.6455
32401,0.6456
32501,0.6457
32601,0.6460
32701,0.6466
32801,0.6470
32901,0.6473
33001,0.6478
33101,0.6479
33201,0.6485
33301,0.6487
33401,0.6491
33501,0.6495
33601,0.6497
33701,0.6499
33801,0.6503
33901,0.6512
34001,0.6514
34101,0.6515
34201,0.6516
34301,0.6520
34401,0.6523
34501,0.6525
34601,0.6528
34701,0.6529
34801,0.6532
34901,0.6538
35001,0.6542
35101,0.6545
35201,0.6548
35301,0.6552
35401,0.6553
35501,0.6558
35601,0.6560
35701,0.6562
35801,0.6564
35901,0.6566
36001,0.6570
36101,0.6573
36201,0.6576
36301,0.6580
36401,0.6583
36501,0.6586
36601,0.6593
36701,0.6598
36801,0.6599
36901,0.6602
37001,0.6605
37101,0.6607
37201,0.6611
37301,0.6613
37401,0.6614
37501,0.6618
37601,0.6619
37701,0.6623
37801,0.6625
37901,0.6627
38001,0.6630
38101,0.6631
38201,0.6632
38301,0.6636
38401,0.6637
38501,0.6640
38601,0.6645
38701,0.6648
38801,0.6651
38901,0.6656
39001,0.6661
39101,0.6666
39201,0.6668
39301,0.6670
39401,0.6672
39501,0.6675
39601,0.6676
39701,0.6678
39801,0.6684
39901,0.6688
40001,0.6692
40101,0.6695
40201,0.6696
40301,0.6699
40401,0.6701
40501,0.6701
40601,0.6704
40701,0.6709
40801,0.6710
40901,0.6713
41001,0.6713
41101,0.6718
41201,0.6721
41301,0.6723
41401,0.6725
41501,0.6729
41601,0.6733
41701,0.6736
41801,0.6737
41901,0.6739
42001,0.6743
42101,0.6747
42201,0.6749
42301,0.6756
42401,0.6757
42501,0.6763
42601,0.6765
42701,0.6770
42801,0.6771
42901,0.6773
43001,0.6777
43101,0.6784
43201,0.6788
43301,0.6791
43401,0.6792
43501,0.6793
43601,0.6796
43701,0.6799
43801,0.6801
43901,0.6804
44001,0.6808
44101,0.6809
44201,0.6813
44301,0.6815
44401,0.6820
44501,0.6824
44601,0.6826
44701,0.6830
44801,0.6834
44901,0.6837
45001,0.6838
45101,0.6842
45201,0.6845
45301,0.6846
45401,0.6850
45501,0.6854
45601,0.6857
45701,0.6861
45801,0.6866
45901,0.6869
46001,0.6871
46101,0.6873
46201,0.6877
46301,0.6879
46401,0.6881
46501,0.6885
46601,0.6888
46701,0.6890
46801,0.6894
46901,0.6895
47001,0.6897
47101,0.6903
47201,0.6905
47301,0.6907
47401,0.6912
47501,0.6916
47601,0.6919
47701,0.6922
47801,0.6926
47901,0.6927
48001,0.6928
48101,0.6929
48201,0.6931
48301,0.6934
48401,0.6936
48501,0.6939
48601,0.6941
48701,0.6943
48801,0.6944
48901,0.6951
49001,0.6952
49101,0.6958
49201,0.6963
49301,0.6964
49401,0.6967
49501,0.6969
49601,0.6970
49701,0.6972
49801,0.6973
49901,0.6976
