Generación,Mejor Fitness
1,0.0049
101,0.0098
201,0.0105
301,0.0113
401,0.0119
501,0.0127
601,0.0132
701,0.0139
801,0.0149
901,0.0156
1001,0.0164
1101,0.0172
1201,0.0176
1301,0.0184
1401,0.0196
1501,0.0202
1601,0.0208
1701,0.0218
1801,0.0225
1901,0.0237
2001,0.0247
2101,0.0254
2201,0.0259
2301,0.0271
2401,0.0287
2501,0.0302
2601,0.0315
2701,0.0331
2801,0.0343
2901,0.0353
3001,0.0366
3101,0.0377
3201,0.0391
3301,0.0400
3401,0.0412
3501,0.0431
3601,0.0446
3701,0.0469
3801,0.0484
3901,0.0499
4001,0.0520
4101,0.0541
4201,0.0564
4301,0.0577
4401,0.0600
4501,0.0625
4601,0.0643
4701,0.0668
4801,0.0690
4901,0.0707
5001,0.0723
5101,0.0746
5201,0.0766
5301,0.0785
5401,0.0804
5501,0.0822
5601,0.0842
5701,0.0864
5801,0.0896
5901,0.0920
6001,0.0945
6101,0.0969
6201,0.0993
6301,0.1021
6401,0.1041
6501,0.1064
6601,0.1094
6701,0.1127
6801,0.1151
6901,0.1177
7001,0.1204
7101,0.1228
7201,0.1255
7301,0.1278
7401,0.1310
7501,0.1340
7601,0.1366
7701,0.1391
7801,0.1426
7901,0.1455
8001,0.1482
8101,0.1516
8201,0.1549
8301,0.1583
8401,0.1612
8501,0.1652
8601,0.1689
8701,0.1717
8801,0.1749
8901,0.1782
9001,0.1818
9101,0.1849
9201,0.1894
9301,0.1922
9401,0.1956
9501,0.2002
9601,0.2033
9701,0.2069
9801,0.2106
9901,0.2145
10001,0.2183
10101,0.2224
10201,0.2258
10301,0.2295
10401,0.2330
10501,0.2361
10601,0.2394
10701,0.2429
10801,0.2471
10901,0.2502
11001,0.2539
11101,0.2572
11201,0.2608
11301,0.2646
11401,0.2680
11501,0.2715
11601,0.2747
11701,0.2784
11801,0.2819
11901,0.2862
12001,0.2900
12101,0.2927
12201,0.2971
12301,0.3010
12401,0.3055
12501,0.3100
12601,0.3139
12701,0.3170
12801,0.3212
12901,0.3256
13001,0.3292
13101,0.3329
13201,0.3368
13301,0.3403
13401,0.3439
13501,0.3475
13601,0.3511
13701,0.3548
13801,0.3583
13901,0.3616
14001,0.3653
14101,0.3687
14201,0.3724
14301,0.3753
14401,0.3789
14501,0.3828
14601,0.3861
14701,0.3897
14801,0.3928
14901,0.3966
15001,0.4004
15101,0.4042
15201,0.4069
15301,0.4107
15401,0.4141
15501,0.4178
15601,0.4209
15701,0.4242
15801,0.4270
15901,0.4301
16001,0.4336
16101,0.4366
16201,0.4394
16301,0.4418
16401,0.4450
16501,0.4479
16601,0.4511
16701,0.4545
16801,0.4572
16901,0.4601
17001,0.4626
17101,0.4654
17201,0.4690
17301,0.4715
17401,0.4742
17501,0.4775
17601,0.4804
17701,0.4827
17801,0.4848
17901,0.4875
18001,0.4901
18101,0.4925
18201,0.4951
18301,0.4973
18401,0.5002
18501,0.5028
18601,0.5056
18701,0.5069
18801,0.5089
18901,0.5113
19001,0.5142
19101,0.5164
19201,0.5186
19301,0.5208
19401,0.5227
19501,0.5250
19601,0.5269
19701,0.5289
19801,0.5310
19901,0.5327
20001,0.5348
20101,0.5367
20201,0.5384
20301,0.5403
20401,0.5423
20501,0.5445
20601,0.5466
20701,0.5484
20801,0.5504
20901,0.5522
21001,0.5540
21101,0.5558
21201,0.5570
21301,0.5584
21401,0.5596
21501,0.5613
21601,0.5622
21701,0.5639
21801,0.5653
21901,0.5668
22001,0.5681
22101,0.5696
22201,0.5713
22301,0.5725
22401,0.5739
22501,0.5752
22601,0.5760
22701,0.5774
22801,0.5782
22901,0.5789
23001,0.5800
23101,0.5816
23201,0.5825
23301,0.5837
23401,0.5849
23501,0.5863
23601,0.5873
23701,0.5880
23801,0.5889
23901,0.5897
24001,0.5906
24101,0.5911
24201,0.5916
24301,0.5924
24401,0.5931
24501,0.5937
24601,0.5945
24701,0.5952
24801,0.5955
24901,0.5957
25001,0.5960
25101,0.5967
25201,0.5971
25301,0.5975
25401,0.5981
25501,0.5984
25601,0.5987
25701,0.5989
25801,0.5994
25901,0.5997
26001,0.5999
26101,0.6002
26201,0.6006
26301,0.6011
26401,0.6014
26501,0.6018
26601,0.6021
26701,0.6025
26801,0.6031
26901,0.6032
27001,0.6035
27101,0.6036
27201,0.6039
27301,0.6043
27401,0.6047
27501,0.6050
27601,0.6054
27701,0.6059
27801,0.6062
27901,0.6066
28001,0.6067
28101,0.6074
28201,0.6076
28301,0.6078
28401,0.6078
28501,0.6080
28601,0.6083
28701,0.6087
28801,0.6087
28901,0.6087
29001,0.6092
29101,0.6093
29201,0.6096
29301,0.6098
29401,0.6100
29501,0.6103
29601,0.6106
29701,0.6109
29801,0.6112
29901,0.6117
30001,0.6120
30101,0.6122
30201,0.6122
30301,0.6123
30401,0.6126
30501,0.6127
30601,0.6131
30701,0.6133
30801,0.6134
30901,0.6135
31001,0.6137
31101,0.6138
31201,0.6139
31301,0.6141
31401,0.6143
31501,0.6147
31601,0.6148
31701,0.6151
31801,0.6154
31901,0.6156
32001,0.6157
32101,0.6158
32201,0.6159
32301,0.6160
32401,0.6162
32501,0.6164
32601,0.6166
32701,0.6169
32801,0.6170
32901,0.6171
33001,0.6174
33101,0.6175
33201,0.6176
33301,0.6178
33401,0.6181
33501,0.6182
33601,0.6185
33701,0.6185
33801,0.6187
33901,0.6189
34001,0.6192
34101,0.6194
34201,0.6195
34301,0.6196
34401,0.6196
34501,0.6199
34601,0.6202
34701,0.6203
34801,0.6205
34901,0.6206
35001,0.6207
35101,0.6210
35201,0.6211
35301,0.6215
35401,0.6218
35501,0.6221
35601,0.6221
35701,0.6223
35801,0.6224
35901,0.6228
36001,0.6230
36101,0.6231
36201,0.6234
36301,0.6234
36401,0.6235
36501,0.6236
36601,0.6239
36701,0.6241
36801,0.6242
36901,0.6246
37001,0.6249
37101,0.6250
37201,0.6252
37301,0.6253
